フリウラーノ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ふりうらーの,フリウラーノ,フリウラーノ
マルヴァジア・ビアンカ,-1,-1,10,名詞,固有名詞,一般,*,*,*,まるゔぁじあ・びあんか,マルヴァジア・ビアンカ,マルヴァジア・ビアンカ
ファンダン,-1,-1,10,名詞,固有名詞,一般,*,*,*,ふぁんだん,ファンダン,ファンダン
モスカテル・デ・アレハンドリア,-1,-1,10,名詞,固有名詞,一般,*,*,*,もすかてる・で・あれはんどりあ,モスカテル・デ・アレハンドリア,モスカテル・デ・アレハンドリア
ローゼンムスカテラー,-1,-1,10,名詞,固有名詞,一般,*,*,*,ろーぜんむすかてらー,ローゼンムスカテラー,ローゼンムスカテラー
アンタン・ヴァス,-1,-1,10,名詞,固有名詞,一般,*,*,*,あんたん・ゔぁす,アンタン・ヴァス,アンタン・ヴァス
プティ・マンサン,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぷてぃ・まんさん,プティ・マンサン,プティ・マンサン
パデイロ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぱでいろ,パデイロ,パデイロ
シラーズ,-1,-1,10,名詞,固有名詞,一般,*,*,*,しらーず,シラーズ,シラーズ
テロルデゴ,-1,-1,10,名詞,固有名詞,一般,*,*,*,てろるでご,テロルデゴ,テロルデゴ
リースリング,-1,-1,10,名詞,固有名詞,一般,*,*,*,りーすりんぐ,リースリング,リースリング
ヴィニャン,-1,-1,10,名詞,固有名詞,一般,*,*,*,ゔぃにゃん,ヴィニャン,ヴィニャン
ルーサンヌ,-1,-1,10,名詞,固有名詞,一般,*,*,*,るーさんぬ,ルーサンヌ,ルーサンヌ
ムールヴェードル,-1,-1,10,名詞,固有名詞,一般,*,*,*,むーるゔぇーどる,ムールヴェードル,ムールヴェードル
シルヴァネール,-1,-1,10,名詞,固有名詞,一般,*,*,*,しるゔぁねーる,シルヴァネール,シルヴァネール
フェテアスカ・ネアグラ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ふぇてあすか・ねあぐら,フェテアスカ・ネアグラ,フェテアスカ・ネアグラ
キシ,-1,-1,10,名詞,固有名詞,一般,*,*,*,きし,キシ,キシ
ラクリマ・ディ・モッロ・ダルバ,-1,-1,10,名詞,固有名詞,一般,*,*,*,らくりま・でぃ・もっろ・だるば,ラクリマ・ディ・モッロ・ダルバ,ラクリマ・ディ・モッロ・ダルバ
トゥーリガ・ナシオナル,-1,-1,10,名詞,固有名詞,一般,*,*,*,とぅーりが・なしおなる,トゥーリガ・ナシオナル,トゥーリガ・ナシオナル
グレーラ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぐれーら,グレーラ,グレーラ
インツォリア,-1,-1,10,名詞,固有名詞,一般,*,*,*,いんつぉりあ,インツォリア,インツォリア
カベルネ・ソーヴィニヨン,-1,-1,10,名詞,固有名詞,一般,*,*,*,かべるね・そーゔぃによん,カベルネ・ソーヴィニヨン,カベルネ・ソーヴィニヨン
ブラウフレンキッシュ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぶらうふれんきっしゅ,ブラウフレンキッシュ,ブラウフレンキッシュ
ゲヴェルツトラミネール,-1,-1,10,名詞,固有名詞,一般,*,*,*,げゔぇるつとらみねーる,ゲヴェルツトラミネール,ゲヴェルツトラミネール
チェザネーゼ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ちぇざねーぜ,チェザネーゼ,チェザネーゼ
ガメイ,-1,-1,10,名詞,固有名詞,一般,*,*,*,がめい,ガメイ,ガメイ
龍眼,-1,-1,10,名詞,固有名詞,一般,*,*,*,りゅうがん,リュウガン,リュウガン
トカイ・フリウラーノ,-1,-1,10,名詞,固有名詞,一般,*,*,*,とかい・ふりうらーの,トカイ・フリウラーノ,トカイ・フリウラーノ
ビアンコ・ジャンティーユ,-1,-1,10,名詞,固有名詞,一般,*,*,*,びあんこ・じゃんてぃーゆ,ビアンコ・ジャンティーユ,ビアンコ・ジャンティーユ
シュナン・ブラン,-1,-1,10,名詞,固有名詞,一般,*,*,*,しゅなん・ぶらん,シュナン・ブラン,シュナン・ブラン
カルメネール,-1,-1,10,名詞,固有名詞,一般,*,*,*,かるめねーる,カルメネール,カルメネール
ピノ・ネロ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぴの・ねろ,ピノ・ネロ,ピノ・ネロ
キアヴェンナスカ,-1,-1,10,名詞,固有名詞,一般,*,*,*,きあゔぇんなすか,キアヴェンナスカ,キアヴェンナスカ
ランブルスコ・マラーニ,-1,-1,10,名詞,固有名詞,一般,*,*,*,らんぶるすこ・まらーに,ランブルスコ・マラーニ,ランブルスコ・マラーニ
レブラ,-1,-1,10,名詞,固有名詞,一般,*,*,*,れぶら,レブラ,レブラ
アルバリーニョ,-1,-1,10,名詞,固有名詞,一般,*,*,*,あるばりーにょ,アルバリーニョ,アルバリーニョ
カリニャン,-1,-1,10,名詞,固有名詞,一般,*,*,*,かりにゃん,カリニャン,カリニャン
ピノ・ムニエ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぴの・むにえ,ピノ・ムニエ,ピノ・ムニエ
サンジョヴェーゼ・グロッソ,-1,-1,10,名詞,固有名詞,一般,*,*,*,さんじょゔぇーぜ・ぐろっそ,サンジョヴェーゼ・グロッソ,サンジョヴェーゼ・グロッソ
ランブルスコ・グラスパロッサ,-1,-1,10,名詞,固有名詞,一般,*,*,*,らんぶるすこ・ぐらすぱろっさ,ランブルスコ・グラスパロッサ,ランブルスコ・グラスパロッサ
プリミティーヴォ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぷりみてぃーゔぉ,プリミティーヴォ,プリミティーヴォ
オンダラビ・スリ,-1,-1,10,名詞,固有名詞,一般,*,*,*,おんだらび・すり,オンダラビ・スリ,オンダラビ・スリ
ガルナッチャ・ブランカ,-1,-1,10,名詞,固有名詞,一般,*,*,*,がるなっちゃ・ぶらんか,ガルナッチャ・ブランカ,ガルナッチャ・ブランカ
ネッビオーロ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ねっびおーろ,ネッビオーロ,ネッビオーロ
デラウェア,-1,-1,10,名詞,固有名詞,一般,*,*,*,でらうぇあ,デラウェア,デラウェア
アジロンダック,-1,-1,10,名詞,固有名詞,一般,*,*,*,あじろんだっく,アジロンダック,アジロンダック
ボスコ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぼすこ,ボスコ,ボスコ
ピノ・ブラン,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぴの・ぶらん,ピノ・ブラン,ピノ・ブラン
ピノタージュ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ぴのたーじゅ,ピノタージュ,ピノタージュ
フルミント,-1,-1,10,名詞,固有名詞,一般,*,*,*,ふるみんと,フルミント,フルミント
ヴェルディッキオ,-1,-1,10,名詞,固有名詞,一般,*,*,*,ゔぇるでぃっきお,ヴェルディッキオ,ヴェルディッキオ
